Unnamed: 0,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner
0,当,当,0.0,0.14,8.529402948041533,ADP,1,3,1,2
1,我,我,0.14,0.25,10.534098233242508,PRON,1,5,2,3
2,还,还,0.25,0.43,9.872623675554896,ADV,1,3,2,3
3,只有,只有,0.43,0.67,8.511887742377954,ADV,1,2,1,2
4,六,六,0.67,0.89,8.93071178299457,NUM,1,2,1,2
5,岁,岁,0.89,1.06,8.167040644609932,NUM,1,2,6,3
6,的,的,1.06,1.14,13.549001743000456,PART,1,1,2,2
7,时候,时候,1.14,1.58,8.502951457651319,NOUN,1,2,4,3
8,在,在,2.16,2.34,11.76214703363635,VERB,1,3,1,2
9,一,一,2.34,2.44,11.4288871621941,NUM,1,7,2,3
10,本,本,2.44,2.53,9.000524363102912,DET,1,5,2,3
11,描写,描写,2.53,2.93,6.134109286749038,NOUN,1,2,3,3
12,原始,原始,2.93,3.25,6.904483933963076,ADJ,1,2,2,2
13,森林,森林,3.25,3.69,6.496139796034242,NOUN,1,2,3,3
14,的,的,3.69,3.79,13.549001743000456,PART,1,1,2,2
15,名,名,4.16,4.3,8.351761553510602,NOUN,1,2,3,3
16,叫,叫,4.3,4.46,6.116971013472702,VERB,1,2,1,2
17,真实,真实,4.46,4.84,7.367570305240154,ADJ,1,5,3,4
18,的,的,4.84,4.9,13.549001743000456,PART,1,1,2,2
19,故事,故事,4.9,5.22,7.543595858252328,NOUN,1,2,5,3
20,的,的,5.22,5.31,13.549001743000456,PART,1,1,2,2
21,书,书,5.31,5.51,8.321374638581034,NOUN,1,2,3,3
22,中,中,5.51,5.71,11.01019816111366,PART,1,1,3,2
23,看到,看到,6.05,6.32,0.1231021971339834,VERB,1,2,1,2
24,了,了,6.32,6.4,11.717088826693631,PART,1,1,1,1
25,一,一,6.4,6.48,11.4288871621941,NUM,1,3,1,2
26,幅,幅,6.48,6.64,5.254480414942203,NUM,1,2,3,3
27,精彩,精彩,6.64,6.97,4.9689309659897365,VERB,1,4,3,4
28,的,的,6.97,7.06,13.549001743000456,PART,1,1,2,2
29,插画,插画,7.06,7.47,1.6187940073581253,NOUN,1,2,6,3
30,画,画,8.02,8.24,5.856540756976389,VERB,1,6,3,4
31,的,的,8.24,8.44,13.549001743000456,PART,1,1,3,2
32,是,是,8.76,8.94,11.813576063887458,VERB,1,2,1,2
33,一,一,8.94,9.02,11.4288871621941,NUM,1,4,1,2
34,条,条,9.02,9.2,8.22961937977071,NUM,1,2,3,3
35,蟒蛇,蟒蛇,9.2,9.73,-2.9759296462578115,NOUN,1,2,3,3
36,正在,正在,9.87,10.11,7.636880902984179,ADV,1,3,2,3
37,吞食,吞食,10.11,10.53,1.218171523725749,VERB,1,2,1,2
38,一,一,10.53,10.66,11.4288871621941,NUM,1,3,1,2
39,只,只,10.66,10.78,8.687318340146405,NUM,1,2,3,3
40,大,大,10.78,10.94,10.223760246520028,ADJ,1,2,2,2
41,野兽,野兽,10.94,11.3,3.396653741612283,NOUN,1,2,8,3
42,页头,页头,12.11,12.46,-inf,NOUN,1,4,2,3
43,上,上,12.46,12.69,10.760238470227222,PART,1,1,2,2
44,就,就,12.92,13.06,10.143313771089671,ADV,1,3,2,3
45,是,是,13.06,13.16,11.813576063887458,VERB,1,2,1,2
46,那,那,13.16,13.29,8.880679246981725,DET,1,5,1,2
47,幅,幅,13.29,13.43,5.254480414942203,NUM,1,2,3,3
48,画,画,13.43,13.58,5.856540756976389,NOUN,1,2,3,3
49,的,的,13.58,13.7,13.549001743000456,PART,1,1,2,2
50,摹本,摹本,13.7,14.07,-0.034591444769619,NOUN,1,2,6,3
51,这,这,14.98,15.11,11.129278789292488,DET,1,5,1,2
52,本,本,15.11,15.23,9.000524363102912,NUM,1,2,3,3
53,书,书,15.23,15.4,8.321374638581034,NOUN,1,2,3,3
54,中,中,15.4,15.53,11.01019816111366,PART,1,1,2,2
55,写道,写道,15.53,15.91,5.634443114577581,VERB,1,2,1,2
56,这些,这些,16.44,16.7,9.35458442856651,DET,1,4,2,3
57,蟒蛇,蟒蛇,16.7,17.23,-2.9759296462578115,NOUN,1,2,3,3
58,把,把,17.23,17.43,9.380520434905035,X,1,2,1,2
59,它们,它们,17.43,17.67,8.179734148061376,PRON,1,6,2,3
60,的,的,17.67,17.75,13.549001743000456,PART,1,1,2,2
61,猎获物,猎物,17.75,18.35,2.6918530661996387,NOUN,1,2,3,3
62,不,不,18.45,18.55,10.967124178394917,ADV,1,5,2,3
63,加,加,18.55,18.71,8.21127219644446,VERB,1,2,1,2
64,咀嚼,咀嚼,18.71,19.03,2.340458745422127,VERB,1,2,4,3
65,地,地,19.03,19.13,10.18742007921881,PART,1,1,2,2
66,囫囵,囫囵,19.13,19.47,-2.617295837833746,VERB,1,3,2,3
67,吞,吞,19.47,19.68,2.762159526749242,VERB,1,2,1,2
68,下,下,19.68,19.93,9.7626488406527,VERB,1,1,5,2
69,尔后,尔后,20.47,20.87,3.5094237867330267,ADV,1,3,2,3
70,就,就,21.11,21.23,10.143313771089671,ADV,1,3,2,3
71,不,不,21.23,21.35,10.967124178394917,ADV,1,3,2,3
72,能,能,21.35,21.5,9.42263949445072,VERB,1,2,1,2
73,再,再,21.5,21.62,8.405616059244041,ADV,1,3,2,3
74,动弹,动弹,21.62,21.95,2.6171038193993863,VERB,1,2,1,2
75,了,了,21.95,22.09,11.717088826693631,PART,1,1,12,2
76,它们,它们,22.83,23.04,8.179734148061376,PRON,1,3,2,3
77,就,就,23.04,23.17,10.143313771089671,ADV,1,3,2,3
78,在,在,23.17,23.3,11.76214703363635,VERB,1,3,1,2
79,长长,长长,23.3,23.75,3.967968461710194,NOUN,1,5,2,3
80,的,的,23.75,23.83,13.549001743000456,PART,1,1,2,2
81,六,六,23.83,24.03,8.93071178299457,NUM,1,5,1,2
82,个,个,24.03,24.14,10.347959152135804,NUM,1,2,3,3
83,月,月,24.14,24.24,10.484922979849571,NOUN,1,2,3,3
84,的,的,24.24,24.34,13.549001743000456,PART,1,1,2,2
85,睡眠,睡眠,24.34,24.77,3.872346188275248,NOUN,1,2,4,3
86,中,中,24.77,24.97,11.01019816111366,PART,1,1,3,2
87,消化,消化,25.2,25.62,5.088466327050102,VERB,1,2,1,2
88,这些,这些,25.62,25.88,9.35458442856651,DET,1,2,1,2
89,食物,食物,25.88,26.22,5.663502000154177,NOUN,1,2,7,3
90,当时,当时,27.27,27.71,8.441990004348938,NOUN,1,3,2,3
91,我,我,28.23,28.35,10.534098233242508,PRON,1,2,2,2
92,对,对,28.35,28.45,10.687452473351607,ADP,1,3,1,2
93,丛林,丛林,28.45,28.74,3.1294761436035867,NOUN,1,5,2,3
94,中,中,28.74,28.85,11.01019816111366,PART,1,1,2,2
95,的,的,28.85,28.97,13.549001743000456,PART,1,1,2,2
96,奇遇,奇遇,28.97,29.27,0.8754687373538999,NOUN,1,2,4,3
97,想,想,29.27,29.47,8.367560058756213,VERB,1,3,1,2
98,得,得,29.47,29.55,8.835887911676375,PART,1,3,4,4
99,很,很,29.55,29.8,9.553131814577668,ADV,1,3,2,3
100,多,多,29.8,30.03,9.815063523678072,ADV,1,2,6,3
101,于是,于是,30.68,31.05,6.920148168912099,ADV,1,3,2,3
102,我,我,31.35,31.48,10.534098233242508,PRON,1,2,2,2
103,也,也,31.48,31.63,10.523259496272392,ADV,1,3,2,3
104,用,用,31.63,31.77,9.219764623880025,ADP,1,2,1,2
105,彩色,彩色,31.77,32.08,4.609560534289384,ADJ,1,3,2,3
106,铅笔,铅笔,32.08,32.47,2.648441729496899,NOUN,1,2,4,3
107,画,画,32.65,32.79,5.856540756976389,VERB,1,3,2,3
108,出,出,32.79,32.96,9.616849668063612,VERB,1,2,1,2
109,了,了,32.96,33.06,11.717088826693631,PART,1,1,1,1
110,我,我,33.06,33.17,10.534098233242508,PRON,1,4,2,3
