sentence,onset,offset,duration
once when i was six years old i saw a magnificent picture in a book about the primeval forest called real life stories,0.113,8.339,8.226
it showed a boa constrictor swallowing a wild animal,9.247,12.416,3.1690000000000005
here is a copy of the drawing,13.144,14.464,1.3200000000000003
it said in the book boa constrictors swallow their prey whole without chewing then they are not able to move and they sleep for the six months it takes for digestion,15.86,26.339,10.479
so i thought a lot about the adventures of the jungle and in turn i managed with a colored pencil to make my first drawing my drawing number one,27.292,36.647,9.354999999999997
it looked like this,37.186,38.326,1.1400000000000006
i showed my masterpiece to the grownups and i asked them if my drawing frightened them,39.608,44.011,4.403000000000006
they answered me why would anyone be frightened by a hat,44.39,48.092,3.701999999999998
my drawing was not of a hat,49.13,50.645,1.5150000000000006
it showed a boa constrictor digesting an elephant,51.109,54.232,3.1229999999999976
i then drew the inside of the boa constrictor so that the grownups could understand,55.085,60.093,5.008000000000003
they always need to have things explained,60.612,62.676,2.064
my drawing number two looked like this,63.594,65.973,2.378999999999998
the grownups advised me to leave aside drawings of boa constrictors open or closed and to apply myself instead to geography history arithmetic and grammar,67.14,77.391,10.251000000000005
thus i abandoned at the age of six a magnificent career as a painter,78.25399999999999,83.17299999999999,4.918999999999997
i was discouraged by the failure of my drawing number one and of my drawing number two,83.71600000000001,88.61,4.893999999999991
grownups never understand anything by themselves and it is tiresome for children to always explain things for them again and again,89.054,96.912,7.858000000000004
so i had to choose another profession and i learned to fly airplanes,97.465,101.374,3.908999999999992
i flew a little in many places around the world and geography it is true has served me well,102.267,107.53,5.263000000000005
i could recognize at first glance china from arizona,108.174,111.568,3.3939999999999912
it is very useful if you get lost at night,111.893,114.057,2.1640000000000015
i have had during my life a lot of contact with many persons of consequence,114.725,119.733,5.00800000000001
i have lived a lot amongst the grownups,120.152,122.806,2.6539999999999964
i have seen them from close up,123.19,124.67,1.480000000000004
it has not much improved my opinion of them,125.363,127.528,2.1650000000000063
whenever i met one of them that seemed a bit more clear sighted i tried the experiment of showing them my drawing number one that i have always kept,128.361,136.958,8.597000000000008
i wanted to know if they were really a person of true understanding but they always responded it is a hat,137.526,144.08700000000002,6.561000000000007
so i would never speak to them of boa constrictors nor of primeval forests nor of the stars,145.045,150.833,5.788000000000011
i put myself at their level,151.531,153.056,1.5250000000000057
i talked to them about bridge golf politics and neckties and the grownup was glad to know such a sensible man,153.44,161.889,8.449000000000012
so i lived alone without anyone i could really talk to until a breakdown in the sahara desert six years ago,163.261,170.017,6.756
something had broken in my engine and as i had with me neither a mechanic nor any passengers i readied myself to try and carry out all alone the difficult repairs,170.856,181.221,10.365000000000009
for me it was a matter of life or death,182.039,184.092,2.0530000000000257
i had hardly enough water to drink for a week,184.611,187.0,2.38900000000001
the first night i went to sleep on the sand a thousand miles from any human habitation,188.148,193.171,5.022999999999996
i was more isolated than a shipwrecked sailor on a raft in the middle of the ocean,193.62,198.164,4.543999999999983
so you can imagine my surprise when at daybreak a funny little voice woke me up,198.772,203.985,5.213000000000022
it said please draw me a sheep,204.758,208.065,3.306999999999988
what,208.623,209.028,0.40500000000000114
draw me a sheep,209.901,210.981,1.079999999999984
i jumped to my feet as if i had been struck by lightning,212.008,214.702,2.6939999999999884
i rubbed my eyes,215.037,216.081,1.0439999999999827
i took a good look around me and i saw a quite extraordinary little man who was examining me seriously,216.66,223.907,7.247000000000014
here is the best portrait that later i managed to do of him but my drawing of course is much less charming than its model,224.735,232.081,7.345999999999975
it is not my fault,232.549,233.399,0.8499999999999943
i was discouraged in my career as a painter by the grownups at the age of six and i had not learned to draw anything except boa constrictors closed and open,233.803,242.21400000000003,8.41100000000003
i stared at this sudden apparition wide eyed with astonishment,243.227,247.125,3.897999999999996
remember that i was a thousand miles from any inhabited region and yet this little fellow seemed neither lost nor half dead with fatigue nor starved or dying of thirst or fear,247.34,258.43,11.090000000000003
he looked nothing like a child lost in the middle of the desert a thousand miles from any inhabited region,259.448,265.456,6.008000000000038
when i finally managed to speak i said what are you doing here,266.399,270.616,4.2169999999999845
and he repeated very slowly as if it was something very serious please draw me a sheep,271.279,279.089,7.810000000000002
when a mystery is too overpowering one dare not disobey,280.615,284.14,3.5249999999999773
absurd as it seemed to me a thousand miles from any human habitation and in danger of death i took out of my pocket a sheet of paper and a pen,284.813,293.80400000000003,8.991000000000042
but then i remembered that i had mainly studied geography history arithmetic and grammar and i told the little fellow a little crossly that i did not know how to draw,294.408,304.697,10.288999999999987
he replied it does not matter,305.48,307.509,2.0289999999999964
draw me a sheep,307.967,308.97700000000003,1.0100000000000477
as i had never drawn a sheep i redrew for him one of the only two drawings that i was capable of,310.095,315.538,5.442999999999984
the one of the closed boa constrictor,316.011,318.131,2.1199999999999477
and i was astounded to hear the little fellow respond no no i do not want an elephant inside a boa constrictor,318.649,326.565,7.915999999999997
a boa constrictor is very dangerous and an elephant is very cumbersome,326.939,331.712,4.772999999999968
where i live everything is very small,332.126,334.326,2.2000000000000455
i need a sheep,334.675,335.825,1.1499999999999773
draw me a sheep,336.10400000000004,337.069,0.964999999999975
so i drew,337.927,338.596,0.6689999999999827
he looked carefully then said no this one is already very sick,339.584,344.112,4.52800000000002
make another one,344.436,345.326,0.8900000000000432
i drew again,346.069,346.899,0.8299999999999841
my friend smiled gently and indulgently you can see yourself,347.62699999999995,352.275,4.648000000000025
this is not a sheep,352.275,353.395,1.1200000000000045
it is a ram,353.395,354.345,0.9500000000000455
it has horns,354.67900000000003,355.949,1.2699999999999818
so once again i redid my drawing,356.911,359.081,2.170000000000016
but it was rejected like the previous ones,359.37,361.869,2.4990000000000236
this one is too old,362.562,364.537,1.974999999999966
i want a sheep that will live a long time,364.537,367.036,2.4990000000000236
so getting impatient as i was eager to start dismantling my engine i hastily sketched this drawing and i snapped this,368.008,376.513,8.504999999999995
here is the box,376.513,377.473,0.9600000000000364
the sheep you want is inside,377.473,379.032,1.558999999999969
but i was very surprised to see the face of my young judge light up,379.761,383.985,4.2239999999999895
it is exactly the way i wanted,384.6880000000001,386.692,2.0039999999999054
do you think this sheep needs a lot of grass,387.091,389.416,2.3249999999999886
why,390.164,390.614,0.44999999999998863
because where i am from everything is very small,391.317,393.857,2.5400000000000205
there will certainly be enough,394.645,395.905,1.259999999999991
i gave you a very small sheep,396.154,398.153,1.9990000000000236
he leaned his head towards the drawing,399.111,401.076,1.9650000000000318
not that small,401.629,402.784,1.1549999999999727
look,403.407,403.967,0.5600000000000023
he is fallen asleep,404.306,405.515,1.2090000000000032
and that is how i met the little prince,406.348,408.467,2.1189999999999714
it took me a long time to find out where he came from,410.046,412.93,2.8840000000000146
the little prince who asked me many questions never seemed to hear my own,413.454,417.972,4.517999999999972
it was the words spoken by chance that little by little revealed everything to me,419.004,423.648,4.6440000000000055
so when he saw my airplane for the first time,424.491,426.785,2.2940000000000396
i will not draw my airplane,427.384,428.889,1.5049999999999955
it would be a drawing far too complicated for me,428.889,431.392,2.502999999999986
he asked me what is that thing there,431.881,434.449,2.5680000000000405
it is not a thing,435.297,436.062,0.7649999999999864
it flies,436.261,436.956,0.6949999999999932
it is an airplane,437.156,437.965,0.8089999999999691
it is my airplane,438.057,438.905,0.8479999999999563
and i was proud to have him know that i could fly,439.608,441.947,2.3389999999999986
then he cried what you fell from the sky,442.82,446.143,3.322999999999979
yes i said modestly,446.821,448.386,1.5649999999999977
oh that is funny,448.999,450.559,1.5600000000000023
and the little prince broke into a lovely peal of laughter which irritated me very much,451.302,456.82,5.517999999999972
i prefer people to take my misfortunes seriously,457.403,460.172,2.7690000000000055
then he added so you also come from the sky,460.691,463.935,3.244000000000028
what planet are you from,464.503,465.67800000000005,1.1750000000000682
i caught a glimpse into the mystery of his presence and i asked abruptly so you come from another planet then,467.045,473.321,6.2760000000000105
but he did not answer,474.124,475.064,0.9399999999999977
he shook his head slowly whilst looking at my airplane,475.753,478.527,2.774000000000001
it is true that you can not have come from far away in that and he drifted into a daydream which lasted a long while,479.415,486.701,7.286000000000001
then taking my sheep out of his pocket he sank himself into the contemplation of his treasure,487.469,492.672,5.203000000000031
you can imagine how my curiosity was aroused by this small disclosure about the other planets so i tried to find out more,493.341,501.342,8.000999999999976
where are you from my little fellow,502.34,503.944,1.6040000000000418
where is this where i live of yours,504.628,506.952,2.3240000000000123
where do you take my sheep off to,507.396,509.046,1.6499999999999773
after a reflective silence he answered what is good about the box you have given is that at night he can use it as a house,510.432,518.352,7.919999999999959
that is right and if you are good i will give you a rope to tie him up with during the day and a stake,519.061,524.567,5.505999999999972
the offer seemed to shock the little prince,525.549,527.509,1.9600000000000364
tie him up,527.988,528.762,0.7739999999998872
what a funny idea,529.316,530.566,1.25
but if you do not tie him up he will wander off and get lost,531.3290000000001,534.118,2.7889999999999873
my friend broke into another peal of laughter,535.106,537.585,2.479000000000042
where do you think he would go,538.239,539.878,1.63900000000001
anywhere straight ahead,540.467,542.056,1.5890000000000555
then the little prince said gravely that does not matter,542.979,546.366,3.3869999999999436
where i live everything is so small,546.955,549.04,2.0849999999999227
and perhaps with a hint of sadness he added straight ahead you can not go far,549.908,554.63,4.72199999999998
i thus learned a second very important thing that his home planet was barely bigger than a house,555.006,561.603,6.59699999999998
it did not surprise me much,562.301,563.93,1.6289999999999054
i knew that apart from the large planets like the earth jupiter mars and venus which have been given names there are hundreds of others that are sometimes so small that one has great difficulty in spotting them through the telescope,564.244,577.533,13.288999999999987
when an astronomer discovers one of these he gives it a number for a name,578.456,582.55,4.093999999999937
he might call it for example asteroid 325,583.168,586.727,3.558999999999969
i have serious reason to believe that the planet from where the little prince came is the asteroid b 612,587.899,595.01,7.11099999999999
this asteroid has only been seen through a telescope once in 1909 by a turkish astronomer,595.584,601.617,6.0330000000000155
he had then given a big presentation on his discovery at an international astronomy conference but nobody had believed him because of his outfit,602.41,610.966,8.55600000000004
grownups are like that,611.415,612.529,1.1140000000000327
fortunately for the reputation of asteroid b 612 a turkish dictator imposed on his people on pain of death to dress themselves in the european fashion,613.377,623.687,10.31000000000006
the astronomer gave his presentation again in 1920 dressed very stylishly and this time everybody believed him,624.53,631.937,7.407000000000039
if i have told you these details about the asteroid b 612 and revealed to you its number it is because of the grownups,633.174,640.136,6.961999999999989
grownups love numbers,640.6,641.884,1.2839999999999918
when you talk to them about a friend they never ask you about any of the important things,642.318,646.621,4.302999999999997
they never ask you how does his voice sound,646.96,649.469,2.5090000000000146
what games does he like best,649.703,651.302,1.5990000000000464
does he collect butterflies,651.577,652.946,1.3690000000000282
they ask how old is he,653.56,655.039,1.4790000000000418
how many brothers does he have,655.428,656.658,1.2300000000000182
how much does he weigh,656.8969999999999,657.832,0.9350000000000591
how much money does his father make,658.261,659.801,1.5400000000000773
only then do they think they know him,660.434,662.494,2.060000000000059
if you said to the grownups i saw a beautiful red brick house with geraniums by the windows and doves on the roof they would not be able to picture this house in their minds,663.401,673.941,10.540000000000077
you would have to tell them i saw a hundred thousand franc house and they would cry how pretty,674.245,680.53,6.284999999999968
so if you were to say to them the proof that the little prince existed is that he was charming,681.428,686.63,5.201999999999998
he laughed and he wanted a sheep,686.8489999999999,688.5889999999999,1.740000000000009
if someone wants a sheep that proves they exist,689.1379999999999,692.071,2.9330000000001064
they would shrug their shoulders and treat you like a child,692.54,695.329,2.7889999999999873
but if you were to say the planet he came from is the asteroid b 612 they would be convinced and leave you in peace and spare you their questions,695.918,705.119,9.201000000000022
they are like that,705.543,706.297,0.7540000000000191
do not blame them,706.492,707.207,0.7150000000000318
children should be forgiving towards the grownups,707.755,710.039,2.283999999999992
but of course those of us who understand life we do not much care for numbers,710.633,715.491,4.857999999999947
i would have liked to begin this story in the same way as a fairy tale,716.179,719.3779999999999,3.1989999999999554
i would have liked to say once upon a time there was a little prince who lived on a planet not much bigger than himself and who needed a friend,719.887,727.543,7.656000000000063
for those who understand life it would have seemed much more natural,728.1959999999999,732.165,3.969000000000051
for i do not want my book to be read lightly,732.718,734.917,2.199000000000069
i feel so much sadness in recounting these memories,735.486,738.34,2.854000000000042
it is already been six years since my friend left with his sheep,738.739,742.248,3.5090000000000146
if i try to describe him here it is so as not to forget him,743.126,746.505,3.379000000000019
it is sad to forget a friend,747.178,748.548,1.3700000000000045
not everyone has had a friend and if i forgot him i could become like the grownups who are only interested in numbers,749.136,756.492,7.3559999999999945
so that is why i have again bought a box of paints and some pencils,757.395,761.294,3.899000000000001
it is hard to take up drawing again at my age when i have only ever attempted to draw a boa constrictor closed and open at the age of six,761.982,769.663,7.68100000000004
i will try of course to make my portraits as lifelike as possible but i am not quite sure i will succeed,770.396,776.413,6.017000000000053
some drawings go alright,777.071,778.496,1.4249999999999545
others do not look like their subjects,778.975,780.789,1.8139999999999645
i also get the size a bit wrong,781.627,783.561,1.9340000000000828
here the little prince is too big,784.29,786.004,1.7140000000000555
there he is too small,786.298,787.553,1.2549999999999955
i am also not sure about the color of his outfit so i fumble along somehow as best i can,788.361,794.338,5.976999999999975
i will make mistakes on certain important points too but you will have to forgive me that my friend never gave explanations,795.027,802.617,7.589999999999918
perhaps he thought i was just like himself but i unfortunately do not know how to see sheep through boxes,803.121,809.5319999999999,6.4109999999999445
perhaps i am a bit like the grownups,810.1610000000001,811.8399999999999,1.67899999999986
i must have got older,812.423,813.5029999999999,1.0799999999999272
every day i would learn something about his planet the departure and the trip,814.825,818.8679999999999,4.042999999999893
the information came slowly as his thoughts wandered,819.706,822.611,2.9049999999999727
it was in this way that on the third day i came to know of the tragedy of the baobabs,823.434,828.627,5.192999999999984
this time again it was thanks to the sheep because the little prince asked me abruptly as if seized by a grave doubt,829.345,836.4159999999999,7.070999999999913
it is true is not it that sheep eat shrubs,837.264,840.2529999999999,2.988999999999919
yes it is true,840.892,841.956,1.0639999999999645
oh i am glad,842.704,843.5740000000001,0.8700000000001182
i did not understand why it was so important that sheep eat shrubs but the little prince added then it follows they also eat baobabs,844.467,852.937,8.470000000000027
i pointed out to the little prince that baobabs were not shrubs but trees as big as churches and that even if he took with him a whole herd of elephants the herd would not manage to eat up one single baobab,853.78,867.083,13.302999999999997
the idea of the herd of elephants made the little prince laugh,867.931,871.086,3.1549999999999727
they would have to be piled up on top of each other,871.684,874.123,2.439000000000078
but he remarked wisely the baobab trees before they grow up start off small,875.0360000000001,880.547,5.510999999999967
that is right but why do you want the sheep to eat the little baobabs,881.2660000000001,885.408,4.141999999999939
he replied oh come on as if it were obvious and it took me a great mental effort to understand this problem on my own without any help,886.136,895.66,9.524000000000001
and indeed on the planet of the little prince there were like on all planets both good plants and bad plants and therefore both good seeds from good plants and bad seeds from bad plants,896.244,909.484,13.240000000000009
but seeds are invisible,910.043,911.357,1.3139999999999645
they sleep secretly deep in the earth until on a whim one of them decides to wake up,911.9110000000001,917.683,5.7719999999999345
then it elongates and grows timidly at first toward the sun a charming little harmless sprig,918.182,924.829,6.6469999999999345
if it is a sprig of radish or rose bush you can let it grow as it likes,925.527,929.191,3.6639999999999873
but if it is a bad plant one must pull the plant out straight away as soon as it can be recognised,929.774,935.865,6.091000000000008
now there were some terrible seeds on the planet of the little prince,936.918,940.2370000000001,3.3190000000000737
there were the seeds of baobab trees,940.806,943.135,2.328999999999951
the soil of the planet was infested with them,943.743,946.057,2.3139999999999645
a baobab if you get to it too late can never be got rid of,946.9,951.2919999999999,4.391999999999939
it takes over the entire planet pierces it with its roots,951.876,956.0630000000001,4.1870000000001255
and if the planet is too small and if there are too many baobabs they shatter it to pieces,956.412,962.658,6.245999999999981
it is a matter of discipline,963.531,965.0799999999999,1.5489999999999782
the little prince told me later,965.4200000000001,967.044,1.62399999999991
after grooming oneself in the morning the planet must be carefully groomed,967.488,971.985,4.496999999999957
you must see to it that you regularly pull out the baobabs as soon as they can be told apart from the rose bushes to which they look very similar when they are very young,972.539,981.485,8.946000000000026
it is a very boring job but very easy,982.213,984.931,2.7180000000000746
and one day he suggested that i apply myself to making a beautiful drawing so that the children from where i come would understand all this,986.024,993.961,7.937000000000012
if one day they travel he said to me it could come in useful,994.72,998.712,3.991999999999962
sometimes there is no harm in postponing one 's work but in the case of baobabs that always leads to a catastrophe,999.1659999999999,1006.242,7.076000000000022
i used to know a planet inhabited by a lazy man,1006.935,1010.0,3.0650000000000546
he had neglected three little bushes,1010.588,1013.057,2.469000000000051
and based on what the little prince told me i drew this planet,1013.806,1017.6930000000001,3.8870000000000573
i do not like to sound like a moralist but the danger of the baobabs is so little understood and the risks run by anyone who might get lost on an asteroid are so large that for once i am breaking my normal reserve,1018.322,1031.51,13.187999999999988
i say children beware of baobabs,1032.069,1035.271,3.201999999999998
it is to warn my friends of the danger they have long been skirting like myself without knowing it that i have worked so hard on this drawing,1036.025,1043.466,7.4409999999998035
the lesson which i pass on by this means was worth the effort,1044.24,1047.664,3.423999999999978
you might be wondering why is it that in this book there are not any other drawings as impressive as the drawing of the baobabs,1048.367,1054.999,6.632000000000062
the answer is simple,1055.547,1056.532,0.9849999999999
i tried but i could not succeed,1057.061,1058.68,1.6190000000001419
when i drew the baobabs i was spurred on by a sense of urgency,1059.259,1063.522,4.26299999999992
oh little prince i came to understand gradually in this way your sad life,1064.695,1069.859,5.163999999999987
for a long time your only entertainment was the softness of the sunsets,1071.166,1075.815,4.649000000000115
i learned this new detail on the fourth day in the morning when you said to me i am very fond of sunsets,1076.528,1083.2649999999999,6.736999999999853
let us go and see a sunset now,1083.525,1085.234,1.7089999999998327
but we have to wait,1085.962,1087.1219999999998,1.1599999999998545
wait for what,1087.92,1088.835,0.9149999999999636
wait until the sun goes down,1089.613,1091.218,1.6050000000000182
you seemed surprised at first and then you chuckled at yourself and you said i think myself at home still,1092.4299999999998,1098.987,6.557000000000244
indeed when it is noon in the united states the sun everybody knows is setting over france,1099.755,1105.993,6.237999999999829
it would suffice to be able to go to france in one minute to be able to see a sunset,1106.7559999999999,1111.6950000000002,4.939000000000306
unfortunately france is much too far away but on your tiny planet all you needed was to move your chair a few steps and you watched the twilight falling whenever you liked,1112.383,1123.923,11.539999999999964
one day i saw the sunset forty four times,1124.9650000000001,1127.705,2.7399999999997817
and a little later you added you know you love the sunset when you are really sad,1128.433,1134.26,5.826999999999998
the day you saw it forty four times were you were really that sad then,1135.342,1139.7559999999999,4.41399999999976
but the little prince made no reply,1140.649,1142.368,1.719000000000051
on the fifth day again thanks to the sheep this secret of the little prince 's life was revealed to me,1142.4489999999998,1148.3609999999999,5.912000000000035
he asked abruptly without anything leading up to it as if it was the result of a long silent meditation on a problem,1149.2939999999999,1156.5159999999998,7.22199999999998
if a sheep eats shrubs then does it eat flowers too,1157.569,1161.277,3.7080000000000837
a sheep eats everything it finds,1162.1799999999998,1163.9389999999999,1.7590000000000146
even flowers that have thorns,1164.8619999999999,1166.7469999999998,1.884999999999991
yes even flowers that have thorns,1167.331,1169.45,2.119000000000142
what are the thorns for then,1170.463,1172.173,1.7100000000000364
i did not know the answer,1173.085,1174.2749999999999,1.1899999999998272
i was very busy trying to unscrew a bolt in my engine that had got stuck,1174.475,1178.629,4.153999999999996
i was very worried because my breakdown was beginning to appear to be very serious and i had so little drinking water left that i had to fear the worst,1179.0919999999999,1188.383,9.291000000000167
what are the thorns for then,1189.48,1191.345,1.865000000000009
the little prince never let go of a question once he had asked it,1192.158,1195.2469999999998,3.088999999999942
i was upset over the bolt and i said the first thing that came into my head,1195.6309999999999,1200.075,4.444000000000187
the thorns are of no use at all,1200.7279999999998,1202.493,1.7650000000001
