Unnamed: 0,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner
0,once,once,0.113,0.728,5.82440591697994,ADV,1,3,1,2
1,when,when,0.728,0.919,7.562213604926971,ADV,1,2,2,2
2,i,i,0.919,1.025,8.500758884952813,PRON,1,3,2,3
3,was,was,1.025,1.158,8.84891128785763,AUX,1,2,1,2
4,six,six,1.158,1.464,5.20893955539682,NUM,1,3,1,2
5,years,years,1.464,1.671,6.569635686214575,NOUN,1,1,2,2
6,old,old,1.671,1.973,6.186188047557115,ADJ,1,1,5,2
7,i,i,2.342,2.48,8.500758884952813,PRON,1,2,2,2
8,saw,saw,2.48,2.687,5.319491601779443,VERB,1,2,1,2
9,a,a,2.687,2.8510000000000004,9.87220326249636,DET,1,5,1,2
10,magnificent,magnificent,2.8510000000000004,3.723,2.8668187734606527,ADJ,1,1,1,1
11,picture,picture,3.723,4.297,4.623795650111256,NOUN,1,1,2,2
12,in,in,4.297,4.357,9.970445020661009,ADP,1,2,1,2
13,a,a,4.357,4.437,9.87220326249636,DET,1,3,1,2
14,book,book,4.437,4.725,5.735862368119613,NOUN,1,1,2,2
15,about,about,4.725,4.947,7.212146964996865,ADP,1,2,1,2
16,the,the,4.947,5.053,11.115800481137065,DET,1,2,1,2
17,primeval,primeval,5.053,5.634,0.7837645481435593,NOUN,1,1,1,1
18,forest,forest,5.634,6.247000000000001,4.18950321539533,NOUN,1,1,6,2
19,called,called,6.247000000000001,6.827000000000001,6.034284544290911,VERB,1,2,1,2
20,real,real,6.827000000000001,7.277,5.437557433639541,ADJ,1,2,1,2
21,life,life,7.277,7.567,6.64488288543893,NOUN,1,1,1,1
22,stories,stories,7.567,8.339,4.203677178632328,NOUN,1,1,7,2
23,it,it,9.247,9.432,8.891153872448442,PRON,1,3,2,3
24,showed,showed,9.432,9.755,4.46720612645257,VERB,1,2,1,2
25,a,a,9.755,9.812,9.87220326249636,DET,1,2,1,2
26,boa,boa,9.812,10.176,-0.218790539432732,NOUN,1,1,1,1
27,constrictor,constrictor,10.176,10.876,-0.54771439135241,NOUN,1,1,2,2
28,swallowing,swallowing,10.876,11.487,1.3006275343627989,VERB,1,3,1,2
29,a,a,11.487,11.592,9.87220326249636,DET,1,2,1,2
30,wild,wild,11.592,12.0,4.130837198581126,ADJ,1,1,1,1
31,animal,animal,12.0,12.416,4.439446125541368,NOUN,1,1,6,2
32,here,here,13.144,13.344,6.305070181538051,ADV,1,3,2,3
33,is,is,13.344,13.469,9.270023374137356,AUX,1,2,1,2
34,a,a,13.469,13.509,9.87220326249636,DET,1,3,1,2
35,copy,copy,13.509,13.9,4.022508366603221,NOUN,1,1,2,2
36,of,of,13.9,13.999,10.576559568665022,ADP,1,2,1,2
37,the,the,13.999,14.079,11.115800481137065,DET,1,2,1,2
38,drawing,drawing,14.079,14.464,4.078045789252598,NOUN,1,1,6,2
39,it,it,15.86,16.023,8.891153872448442,PRON,1,3,2,3
40,said,said,16.023,16.264,6.866599895560644,VERB,1,2,1,2
41,in,in,16.264,16.365,9.970445020661009,ADP,1,2,1,2
42,the,the,16.365,16.437,11.115800481137065,DET,1,2,1,2
43,book,book,16.437,16.755,5.735862368119613,NOUN,1,1,3,2
44,boa,boa,17.219,17.584,-0.218790539432732,NOUN,1,4,1,2
45,constrictors,constrictors,17.584,18.322,-2.149606528396965,NOUN,1,1,2,2
46,swallow,swallow,18.322,18.812,1.979386372196398,VERB,1,3,1,2
47,their,their,18.812,18.984,7.910517241993412,DET,1,3,2,3
48,prey,prey,18.984,19.458,2.566717024985566,NOUN,1,2,3,3
49,whole,whole,19.458,19.913,5.813383984571282,ADV,1,2,3,3
50,without,without,19.913,20.334,6.379206863561576,ADP,1,2,1,2
51,chewing,chewing,20.334,20.902,1.3385211796482073,VERB,1,2,5,3
52,then,then,21.561,21.876,7.007600613951853,ADV,1,4,2,3
53,they,they,21.876,22.006,8.044690441969406,PRON,1,3,2,3
54,are,are,22.006,22.106,8.452121194672523,AUX,1,2,1,2
55,not,not,22.106,22.306,8.652789949703957,PART,1,1,1,1
56,able,able,22.306,22.566,5.444234241448191,ADJ,1,2,1,2
57,to,to,22.566,22.706,10.106224294072677,PART,1,3,1,2
58,move,move,22.706,23.371,4.778787302151899,VERB,1,2,8,3
59,and,and,23.371,23.626,10.263048328453316,CCONJ,1,2,1,2
60,they,they,23.626,23.745,8.044690441969406,PRON,1,3,2,3
61,sleep,sleep,23.745,24.149,4.165563842309942,VERB,1,2,1,2
62,for,for,24.149,24.256,9.022419166371732,ADP,1,2,1,2
63,the,the,24.256,24.356,11.115800481137065,DET,1,3,1,2
64,six,six,24.356,24.786,5.20893955539682,NUM,1,1,1,1
65,months,months,24.786,25.135,5.033114075856682,NOUN,1,1,2,2
66,it,it,25.135,25.226,8.891153872448442,PRON,1,3,2,3
67,takes,takes,25.226,25.496,4.668426635623106,VERB,1,3,2,3
68,for,for,25.496,25.606,9.022419166371732,ADP,1,2,1,2
69,digestion,digestion,25.606,26.339,2.0382679228469973,NOUN,1,2,14,3
70,so,so,27.292,27.777,7.514636259384674,ADV,1,3,1,2
71,i,i,27.777,27.887,8.500758884952813,PRON,1,3,2,3
72,thought,thought,27.887,28.167,5.9129893602315375,VERB,1,3,1,2
73,a,a,28.167,28.266,9.87220326249636,DET,1,2,1,2
74,lot,lot,28.266,28.487,4.524935793277486,NOUN,1,1,3,2
75,about,about,28.487,28.737,7.212146964996865,ADP,1,3,1,2
76,the,the,28.737,28.854,11.115800481137065,DET,1,3,1,2
77,adventures,adventures,28.854,29.387,2.357262654284741,NOUN,1,1,2,2
78,of,of,29.387,29.474,10.576559568665022,ADP,1,2,1,2
79,the,the,29.474,29.587,11.115800481137065,DET,1,2,1,2
80,jungle,jungle,29.587,30.101,2.21046980408624,PROPN,1,1,9,2
81,and,and,30.296,30.548,10.263048328453316,CCONJ,1,2,1,2
82,in,in,30.548,30.734,9.970445020661009,ADP,1,3,1,2
83,turn,turn,30.734,31.394,5.137502866038513,NOUN,1,2,3,3
84,i,i,31.394,31.6,8.500758884952813,PRON,1,3,2,3
85,managed,managed,31.6,32.13,3.7296854485061903,VERB,1,3,1,2
86,with,with,32.13,32.231,8.78902023454392,ADP,1,2,1,2
87,a,a,32.231,32.286,9.87220326249636,DET,1,2,1,2
88,coloured,colored,32.286,32.6,3.2308043957334744,ADJ,1,2,1,2
89,pencil,pencil,32.6,33.125,2.4895624613241942,NOUN,1,1,5,2
90,to,to,33.399,33.524,10.106224294072677,PART,1,3,1,2
91,make,make,33.524,33.764,6.456125806273467,VERB,1,2,1,2
92,my,my,33.764,34.034,7.222784972952155,DET,1,4,2,3
93,first,first,34.034,34.414,7.06373286043649,ADJ,1,2,1,2
94,drawing,drawing,34.414,34.824,4.078045789252598,VERB,1,1,3,2
95,my,my,35.258,35.463,7.222784972952155,DET,1,3,2,3
96,drawing,drawing,35.463,35.876,4.078045789252598,NOUN,1,2,1,2
97,number,number,35.876,36.363,6.280152363629598,NOUN,1,1,1,1
98,one,one,36.363,36.647,7.9086812336929855,NUM,1,1,12,2
99,it,it,37.186,37.311,8.891153872448442,PRON,1,3,2,3
100,looked,looked,37.311,37.631,5.159400067361368,VERB,1,2,1,2
101,like,like,37.631,37.891,6.800971528784123,SCONJ,1,2,1,2
102,this,this,37.891,38.326,8.485516748555685,DET,1,2,5,3
103,i,i,39.608,39.791,8.500758884952813,PRON,1,4,2,3
104,showed,showed,39.791,40.103,4.46720612645257,VERB,1,2,1,2
105,my,my,40.103,40.273,7.222784972952155,DET,1,3,2,3
106,masterpiece,masterpiece,40.273,40.943000000000005,1.3547778939020978,NOUN,1,2,3,3
107,to,to,40.943000000000005,41.053,10.106224294072677,ADP,1,2,1,2
108,the,the,41.053,41.113,11.115800481137065,DET,1,2,1,2
109,grownups,grownups,41.113,41.934,-1.16883091108088,NOUN,1,1,5,2
110,and,and,41.934,42.083,10.263048328453316,CCONJ,1,1,1,1
111,i,i,42.083,42.243,8.500758884952813,PRON,1,3,2,3
112,asked,asked,42.243,42.613,5.393491173417632,VERB,1,2,1,2
113,them,them,42.613,42.729,7.325675828357647,PRON,1,2,2,2
114,if,if,42.729,42.838,7.59155894453893,SCONJ,1,2,1,2
115,my,my,42.838,43.024,7.222784972952155,DET,1,4,2,3
116,drawing,drawing,43.024,43.346,4.078045789252598,NOUN,1,2,3,3
117,frightened,frightened,43.346,43.793,2.649431898613798,VERB,1,2,1,2
118,them,them,43.793,44.011,7.325675828357647,PRON,1,2,8,3
119,they,they,44.39,44.589,8.044690441969406,PRON,1,3,2,3
120,answered,answered,44.589,44.945,3.995113371960244,VERB,1,2,1,2
121,me,me,44.945,45.18,6.944665633002234,PRON,1,2,2,2
122,why,why,45.739,45.91,5.677506943243938,ADV,1,3,2,3
123,would,would,45.91,46.213,7.530855461230048,VERB,1,3,1,2
124,anyone,anyone,46.213,46.674,4.200909352450131,PRON,1,2,2,2
125,be,be,46.674,46.81,8.716207971151853,AUX,1,2,1,2
126,frightened,frightened,46.81,47.294,2.649431898613798,VERB,1,2,1,2
127,by,by,47.294,47.444,8.691902515208051,ADP,1,2,1,2
128,a,a,47.444,47.558,9.87220326249636,DET,1,2,1,2
129,hat,hat,47.558,48.092,3.358081090588527,NOUN,1,1,10,2
130,my,my,49.13,49.315,7.222784972952155,DET,1,4,2,3
131,drawing,drawing,49.315,49.665,4.078045789252598,NOUN,1,2,3,3
132,was,was,49.665,49.82899999999999,8.84891128785763,AUX,1,2,1,2
133,not,not,49.82899999999999,50.035,8.652789949703957,PART,1,1,1,1
134,of,of,50.035,50.145,10.576559568665022,ADP,1,2,1,2
135,a,a,50.145,50.243,9.87220326249636,DET,1,2,1,2
136,hat,hat,50.243,50.645,3.358081090588527,NOUN,1,1,5,2
137,it,it,51.109,51.503,8.891153872448442,PRON,1,3,2,3
138,showed,showed,51.503,51.754,4.46720612645257,VERB,1,2,1,2
139,a,a,51.754,51.81399999999999,9.87220326249636,DET,1,2,1,2
140,boa,boa,51.81399999999999,52.194,-0.218790539432732,PROPN,1,1,1,1
141,constrictor,constrictor,52.194,52.854,-0.54771439135241,PROPN,1,1,2,2
142,digesting,digesting,52.854,53.555,-0.2558087985637263,VERB,1,3,1,2
143,an,an,53.555,53.667,8.146593170634153,DET,1,2,1,2
144,elephant,elephant,53.667,54.232,2.170892009643163,NOUN,1,1,6,2
145,i,i,55.085,55.583,8.500758884952813,PRON,1,4,2,3
146,then,then,55.583,55.887,7.007600613951853,ADV,1,3,2,3
147,drew,drew,55.887,56.1,3.71732112774524,VERB,1,2,1,2
148,the,the,56.1,56.254,11.115800481137065,DET,1,3,1,2
149,inside,inside,56.254,56.78,4.509275835589345,NOUN,1,1,2,2
150,of,of,56.78,56.87,10.576559568665022,ADP,1,2,1,2
151,the,the,56.87,56.95,11.115800481137065,DET,1,2,1,2
152,boa,boa,56.95,57.24,-0.218790539432732,PROPN,1,2,1,2
153,constrictor,constrictor,57.24,58.12,-0.54771439135241,NOUN,1,1,8,2
154,so,so,58.12,58.37,7.514636259384674,SCONJ,1,2,1,2
155,that,that,58.37,58.51,9.22325659724273,SCONJ,1,1,1,1
156,the,the,58.51,58.6,11.115800481137065,DET,1,3,1,2
