sentence,onset,offset,duration
lorsque j' avais six ans j' ai vu une fois une magnifique image dans un livre sur la forêt vierge qui s' appelait histoires vécues,3.05,11.79,8.739999999999998
ça représentait un serpent boa qui avalait un fauve,12.64,16.13,3.4899999999999984
voilà la copie de le dessin,16.72,18.2,1.4800000000000004
on disait dans le livre les serpents boas avalent leur proie tout entière sans la mâcher ensuite ils ne peuvent plus bouger et ils dorment pendant les six mois de leur digestion,19.47,30.38,10.91
j' ai alors beaucoup réfléchi sur les aventures de la jungle et à mon tour j' ai réussi avec un crayon de couleur à tracer mon premier dessin mon dessin numéro 1,32.195161,44.19,11.994838999999999
il était comme ça,44.92,45.95,1.0300000000000011
j' ai montré mon chef d' oeuvre à les grandes personnes et je leur ai demandé si mon dessin leur faisait peur,47.49,52.92,5.43
elles m' ont répondu pourquoi un chapeau ferait il peur,54.32,57.75,3.4299999999999997
mon dessin ne représentait pas un chapeau,58.82,60.82,2.0
il représentait un serpent boa qui digérait un éléphant,61.36,64.58,3.219999999999999
j' ai alors dessiné l' intérieur de le serpent boa afin que les grandes personnes puissent comprendre,65.53,70.52,4.989999999999995
elles ont toujours besoin d' explications,71.14,73.6,2.4599999999999937
mon dessin numéro 2 était comme ça,74.43,76.69,2.259999999999991
les grandes personnes m' ont conseillé de laisser de côté les dessins de serpents boas ouverts ou fermés et de m' intéresser plutôt à la géographie à l' histoire à le calcul et à la grammaire,78.11,89.55,11.439999999999998
c' est ainsi que j' ai abandonné à l' âge de six ans une magnifique carrière de peintre,90.52,96.07,5.549999999999997
j' avais été découragé par l' insuccès de mon dessin numéro 1 et de mon dessin numéro 2,96.74,102.55,5.810000000000002
les grandes personnes ne comprennent jamais rien toutes seules et c' est fatigant pour les enfants de toujours et toujours leur donner des explications,103.58,112.06,8.480000000000004
j' ai donc dû choisir un autre métier et j' ai appris à piloter des avions,113.17,117.31,4.140000000000001
j' ai volé un peu partout dans le monde et la géographie c' est exact m' a beaucoup servi,118.31,123.72,5.409999999999997
je savais reconnaître de le premier coup d' oeil la chine de l' arizona,124.32,128.44,4.1200000000000045
c' est très utile si l' on s' est égaré pendant la nuit,128.98,131.72,2.740000000000009
j' ai ainsi eu à le cours de ma vie des tas de contacts avec des tas de gens sérieux,132.87,137.95,5.079999999999984
j' ai beaucoup vécu chez les grandes personnes,138.45,140.81,2.3600000000000136
je les ai vues de très près,141.01,142.48,1.4699999999999989
ça n' a pas trop amélioré mon opinion,143.22,145.38,2.1599999999999966
quand j' en rencontrais une qui me paraissait un peu lucide je faisais l' expérience sur elle de mon dessin numéro 1 que j' ai toujours conservé,146.51,155.46,8.950000000000017
je voulais savoir si elle était vraiment compréhensive mais toujours elle me répondait c' est un chapeau,156.11,163.18,7.069999999999993
alors je ne lui parlais ni de serpents boas ni de forêts vierges ni d' étoiles,164.37,169.56,5.189999999999998
je me mettais à sa portée,170.18,171.68,1.5
je lui parlais de bridge de golf de politique et de cravates et la grande personne était bien contente de connaître un homme aussi raisonnable,172.17,181.43,9.26000000000002
